File Name,File Path,Created Time,Last Modified Time,SHA256 Hash,,
sales_data.txt,scan_folder\sales_data.txt,2026-03-04 13:53:28.182170,2026-03-04 14:25:29.419440,5888e9ec91c1f1dbfe2fe5986b16bb647986dd03add6d79982c248954683195e,UNCHANGED,2026-04-06 10:54:38.978814
employee_access.txt,scan_folder\employee_access.txt,2026-03-04 13:54:35.730303,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-06 10:54:58.973651
payment_logs.txt,scan_folder\payment_logs.txt,2026-03-04 13:54:57.769721,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-06 10:54:58.973651
sales_data.txt,scan_folder\sales_data.txt,2026-03-04 13:53:28.182170,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,MODIFIED,2026-04-06 10:54:58.973651
employee_access.txt,scan_folder\employee_access.txt,2026-03-04 13:54:35.730303,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-06 11:02:06.046521
payment_logs.txt,scan_folder\payment_logs.txt,2026-03-04 13:54:57.769721,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-06 11:02:06.046521
sales_data.txt,scan_folder\sales_data.txt,2026-03-04 13:53:28.182170,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-06 11:02:06.046521
employee_access.txt,scan_folder\employee_access.txt,2026-03-04 13:54:35.730303,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-06 11:31:30.535853
payment_logs.txt,scan_folder\payment_logs.txt,2026-03-04 13:54:57.769721,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-06 11:31:30.535853
sales_data.txt,scan_folder\sales_data.txt,2026-03-04 13:53:28.182170,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-06 11:31:30.535853
employee_access.txt,scan_folder\employee_access.txt,2026-04-13 23:25:14.522204,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-13 23:36:55.964399
payment_logs.txt,scan_folder\payment_logs.txt,2026-04-13 23:25:14.538680,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-13 23:36:55.964399
sales_data.txt,scan_folder\sales_data.txt,2026-04-13 23:25:14.557706,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-13 23:36:55.964399
employee_access.txt,scan_folder\employee_access.txt,2026-04-13 23:25:14.522204,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-13 23:47:25.130165
payment_logs.txt,scan_folder\payment_logs.txt,2026-04-13 23:25:14.538680,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-13 23:47:25.130165
sales_data.txt,scan_folder\sales_data.txt,2026-04-13 23:25:14.557706,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-13 23:47:25.130165
employee_access.txt,scan_folder\employee_access.txt,2026-04-13 23:25:14.522204,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-14 00:02:45.387040
payment_logs.txt,scan_folder\payment_logs.txt,2026-04-13 23:25:14.538680,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-14 00:02:45.387040
sales_data.txt,scan_folder\sales_data.txt,2026-04-13 23:25:14.557706,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-14 00:02:45.387040
employee_access.txt,scan_folder\employee_access.txt,2026-04-13 23:25:14.522204,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-14 00:03:37.655681
payment_logs.txt,scan_folder\payment_logs.txt,2026-04-13 23:25:14.538680,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-14 00:03:37.655681
sales_data.txt,scan_folder\sales_data.txt,2026-04-13 23:25:14.557706,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-14 00:03:37.655681
employee_access.txt,scan_folder\employee_access.txt,2026-04-13 23:25:14.522204,2026-03-04 14:23:40.101085,c0f038198c5af1cc8d8e4c75453934424d8fdffe77322d423371dd46ed3ad460,UNCHANGED,2026-04-14 00:08:12.264720
payment_logs.txt,scan_folder\payment_logs.txt,2026-04-13 23:25:14.538680,2026-03-04 14:39:35.780969,badd79f4494346e09ac943fb6980d30097ae07c2d371b188a6b0ce86bf74d546,UNCHANGED,2026-04-14 00:08:12.264720
sales_data.txt,scan_folder\sales_data.txt,2026-04-13 23:25:14.557706,2026-04-06 10:54:54.970722,4f9c00caf26a5c755ab7304ee21effc089023c901c65b2957d72de322dcb608e,UNCHANGED,2026-04-14 00:08:12.264720
